<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFT.US,D,19861001,000000,0.07137,0.07137,0.07137,0.07137,45487703,0
MSFT.US,D,19861002,000000,0.07137,0.07137,0.07137,0.07137,31873715,0
MSFT.US,D,19861003,000000,0.07137,0.07137,0.07137,0.07137,20643176,0
MSFT.US,D,19861006,000000,0.07137,0.0795,0.07137,0.0795,119698117,0
MSFT.US,D,19861007,000000,0.0795,0.0795,0.0795,0.0795,83865436,0
MSFT.US,D,19861008,000000,0.0795,0.0795,0.0795,0.0795,167771268,0
MSFT.US,D,19861009,000000,0.0795,0.08739,0.0795,0.0795,129837916,0
MSFT.US,D,19861010,000000,0.0795,0.08739,0.0795,0.08739,107659630,0
MSFT.US,D,19861013,000000,0.08739,0.08739,0.0795,0.0795,38054547,0
MSFT.US,D,19861014,000000,0.0795,0.08739,0.0795,0.0795,18057732,0
MSFT.US,D,19861015,000000,0.0795,0.08739,0.0795,0.08739,89117131,0
MSFT.US,D,19861016,000000,0.08739,0.08739,0.08739,0.08739,30661786,0
MSFT.US,D,19861017,000000,0.08739,0.08739,0.08739,0.08739,174558073,0
MSFT.US,D,19861020,000000,0.08739,0.08739,0.08739,0.08739,61081185,0
MSFT.US,D,19861021,000000,0.08739,0.09533,0.08739,0.09533,157631464,0
MSFT.US,D,19861022,000000,0.09533,0.09533,0.09533,0.09533,76553471,0
MSFT.US,D,19861023,000000,0.09533,0.09533,0.09533,0.09533,98812552,0
MSFT.US,D,19861024,000000,0.09533,0.09533,0.08739,0.09533,142199586,0
MSFT.US,D,19861027,000000,0.09533,0.09533,0.09533,0.09533,176254768,0
MSFT.US,D,19861028,000000,0.09533,0.10335,0.09533,0.09533,200089350,0
MSFT.US,D,19861029,000000,0.09533,0.09533,0.09533,0.09533,74654782,0
MSFT.US,D,19861030,000000,0.09533,0.09533,0.09533,0.09533,62252716,0
MSFT.US,D,19861031,000000,0.09533,0.09533,0.09533,0.09533,89399907,0
